organism	temperature
Agaricus abruptibulbus	29
Agaricus agrinferus	25
Agaricus arvensis	26
Agaricus augustus	30
Agaricus bernardii	28
Agaricus bisporus	25
Agaricus bitorquis	28
Agaricus blazei	24
Agaricus brunnescens	24
Agaricus campestris	25
Agaricus cupressophilus	25
Agaricus devoniensis	25
Agaricus edulis	26
Agaricus excellens	26
Agaricus fissuratus	26
Agaricus langei	26
Agaricus macrocarpus	26
Agaricus macrosporus	24
Agaricus nivescens	26
Agaricus pattersonae	25
Agaricus pilosporus	20
Agaricus semotus	25
Agaricus silvaticus	24
Agaricus silvicola	25
Agaricus sp.	25
Agaricus subfloccosus	25
Agaricus subperonatus	25
Agaricus subrufescens	26
Agaricus subsubensis	25
Agaricus vaporarius	26
Agaricus xanthoderma	25
Agarivorans albus	25
Agarivorans litoreus	28
Agarivorans sp.	28
Agarum clathratum	10
Agathobacter ruminis	37
Aggregatibacter actinomycetemcomitans	37
Aggregatibacter aphrophilus	37
Aggregatibacter segnis	37
Aggregicoccus edonensis	28
Agitococcus lubricus	28
Agmenellum quadruplicatum	22
Agreia bicolorata	24
Agreia pratensis	29
Agreia sp.	28
Agrobacterium aggregatum	26
Agrobacterium agile	26
Agrobacterium atlanticum	21
Agrobacterium ferrugineum	26
Agrobacterium gelatinovorum	26
Agrobacterium kieliense	26
Agrobacterium luteum	26
Agrobacterium meteori	20
Agrobacterium radiobacter	28
Agrobacterium rhizogenes	26
Agrobacterium rubi	27
Agrobacterium sanguineum	26
Agrobacterium sp.	28
Agrobacterium stellulatum	26
Agrobacterium tumefaciens	28
Agrobacterium viscosum	30
Agrobacterium vitis	27
Agrococcus baldri	27
Agrococcus carbonis	28
Agrococcus casei	29
Agrococcus citreus	29
Agrococcus jejuensis	28
Agrococcus jenensis	28
Agrococcus lahaulensis	29
Agrococcus terreus	28
